kecamatan,epoch,buildup_total_m2,buildup_nres_m2,buildup_res_m2,delta_2000_2005_m2,delta_2005_2010_m2,delta_2010_2015_m2,delta_2015_2020_m2,delta_2020_2025_m2
Rembang,2000,3202124.0,65212.0,3136912.0,,,,,
Pancur,2000,1109110.0,,,,,,,
Lasem,2000,1927341.0,12153.0,1915188.0,,,,,
Kragan,2000,2064102.0,12088.0,2052014.0,,,,,
Sluke,2000,952507.0,50368.0,902139.0,,,,,
Pamotan,2000,1711622.0,9195.0,1702427.0,,,,,
Sulang,2000,1463977.0,,,,,,,
Sarang,2000,1690511.0,1767.0,1688744.0,,,,,
Sedan,2000,1659993.0,1098.0,1658895.0,,,,,
Kaliori,2000,1618698.0,8621.0,1610077.0,,,,,
Gunem,2000,1004961.0,,,,,,,
Sale,2000,1631347.0,7.0,1631340.0,,,,,
Sumber,2000,1497607.0,392.0,1497215.0,,,,,
Bulu,2000,1090133.0,,,,,,,
Rembang,2005,3392510.0,70773.0,3321737.0,,,,,
Pancur,2005,1152137.0,,,,,,,
Lasem,2005,1994209.0,16129.0,1978080.0,,,,,
Kragan,2005,2120399.0,12348.0,2108051.0,,,,,
Sluke,2005,1001886.0,55979.0,945907.0,,,,,
Pamotan,2005,1815415.0,15122.0,1800293.0,,,,,
Sulang,2005,1540491.0,,,,,,,
Sarang,2005,1779781.0,1806.0,1777975.0,,,,,
Sedan,2005,1753319.0,1098.0,1752221.0,,,,,
Kaliori,2005,1736889.0,8658.0,1728231.0,,,,,
Gunem,2005,1049531.0,191.0,1049340.0,,,,,
Sale,2005,1700623.0,11.0,1700612.0,,,,,
Sumber,2005,1567698.0,419.0,1567279.0,,,,,
Bulu,2005,1138225.0,,,,,,,
Rembang,2010,3617697.0,76451.0,3541246.0,,,,,
Pancur,2010,1198096.0,,,,,,,
Lasem,2010,2067019.0,20221.0,2046798.0,,,,,
Kragan,2010,2179481.0,12605.0,2166876.0,,,,,
Sluke,2010,1061340.0,62783.0,998558.0,,,,,
Pamotan,2010,1937071.0,22662.0,1914409.0,,,,,
Sulang,2010,1628897.0,,,,,,,
Sarang,2010,1884803.0,1847.0,1882956.0,,,,,
Sedan,2010,1859040.0,1098.0,1857942.0,,,,,
Kaliori,2010,1900315.0,8695.0,1891620.0,,,,,
Gunem,2010,1099635.0,814.0,1098821.0,,,,,
Sale,2010,1774110.0,15.0,1774095.0,,,,,
Sumber,2010,1644065.0,447.0,1643618.0,,,,,
Bulu,2010,1192652.0,,,,,,,
Rembang,2015,3878258.0,87903.0,3790355.0,,,,,
Pancur,2015,1240761.0,9.0,1240752.0,,,,,
Lasem,2015,2142673.0,23448.0,2119225.0,,,,,
Kragan,2015,2235082.0,13004.0,2222078.0,,,,,
Sluke,2015,1111429.0,68409.0,1043020.0,,,,,
Pamotan,2015,2060285.0,31855.0,2028430.0,,,,,
Sulang,2015,1716526.0,,,,,,,
Sarang,2015,1988496.0,1878.0,1986618.0,,,,,
Sedan,2015,1959947.0,1098.0,1958849.0,,,,,
Kaliori,2015,2085865.0,8725.0,2077140.0,,,,,
Gunem,2015,1153503.0,4249.0,1149254.0,,,,,
Sale,2015,1838506.0,25.0,1838481.0,,,,,
Sumber,2015,1710119.0,468.0,1709651.0,,,,,
Bulu,2015,1246076.0,,,,,,,
Rembang,2020,3993887.0,99370.0,3894517.0,,,,,
Pancur,2020,1258430.0,53.0,1258376.0,,,,,
Lasem,2020,2213760.0,28097.0,2185663.0,,,,,
Kragan,2020,2260135.0,13955.0,2246180.0,,,,,
Sluke,2020,1141448.0,72399.0,1069048.0,,,,,
Pamotan,2020,2124870.0,52621.0,2072249.0,,,,,
Sulang,2020,1806822.0,,,,,,,
Sarang,2020,2029832.0,1878.0,2027954.0,,,,,
Sedan,2020,1996369.0,1098.0,1995271.0,,,,,
Kaliori,2020,2218445.0,8725.0,2209720.0,,,,,
Gunem,2020,1218532.0,21478.0,1197055.0,,,,,
Sale,2020,1863992.0,60.0,1863932.0,,,,,
Sumber,2020,1732479.0,468.0,1732011.0,,,,,
Bulu,2020,1281031.0,,,,,,,
Rembang,2025,4078816.0,108271.0,3970544.0,,,,,
Pancur,2025,1309201.0,53.0,1309148.0,,,,,
Lasem,2025,2252713.0,31159.0,2221554.0,,,,,
Kragan,2025,2305022.0,13955.0,2291067.0,,,,,
Sluke,2025,1194748.0,77602.0,1117145.0,,,,,
Pamotan,2025,2240440.0,59850.0,2180590.0,,,,,
Sulang,2025,1898174.0,,,,,,,
Sarang,2025,2080209.0,1878.0,2078331.0,,,,,
Sedan,2025,2094435.0,1098.0,2093337.0,,,,,
Kaliori,2025,2267392.0,8725.0,2258667.0,,,,,
Gunem,2025,1270252.0,28900.0,1241352.0,,,,,
Sale,2025,1915197.0,60.0,1915137.0,,,,,
Sumber,2025,1774866.0,468.0,1774398.0,,,,,
Bulu,2025,1346182.0,,,,,,,
