kecamatan,epoch_dari,epoch_ke,delta_buildup_m2,delta_buildup_pct
Rembang,2000,2005,190386.0,5.95
Rembang,2005,2010,225187.0,6.64
Rembang,2010,2015,260561.0,7.2
Rembang,2015,2020,115629.0,2.98
Rembang,2020,2025,84929.0,2.13
Pancur,2000,2005,43027.0,3.88
Pancur,2005,2010,45959.0,3.99
Pancur,2010,2015,42665.0,3.56
Pancur,2015,2020,17669.0,1.42
Pancur,2020,2025,50771.0,4.03
Lasem,2000,2005,66868.0,3.47
Lasem,2005,2010,72810.0,3.65
Lasem,2010,2015,75654.0,3.66
Lasem,2015,2020,71087.0,3.32
Lasem,2020,2025,38953.0,1.76
Kragan,2000,2005,56297.0,2.73
Kragan,2005,2010,59082.0,2.79
Kragan,2010,2015,55601.0,2.55
Kragan,2015,2020,25053.0,1.12
Kragan,2020,2025,44887.0,1.99
Sluke,2000,2005,49379.0,5.18
Sluke,2005,2010,59454.0,5.93
Sluke,2010,2015,50089.0,4.72
Sluke,2015,2020,30019.0,2.7
Sluke,2020,2025,53300.0,4.67
Pamotan,2000,2005,103793.0,6.06
Pamotan,2005,2010,121656.0,6.7
Pamotan,2010,2015,123214.0,6.36
Pamotan,2015,2020,64585.0,3.13
Pamotan,2020,2025,115570.0,5.44
Sulang,2000,2005,76514.0,5.23
Sulang,2005,2010,88406.0,5.74
Sulang,2010,2015,87629.0,5.38
Sulang,2015,2020,90296.0,5.26
Sulang,2020,2025,91352.0,5.06
Sarang,2000,2005,89270.0,5.28
Sarang,2005,2010,105022.0,5.9
Sarang,2010,2015,103693.0,5.5
Sarang,2015,2020,41336.0,2.08
Sarang,2020,2025,50377.0,2.48
Sedan,2000,2005,93326.0,5.62
Sedan,2005,2010,105721.0,6.03
Sedan,2010,2015,100907.0,5.43
Sedan,2015,2020,36422.0,1.86
Sedan,2020,2025,98066.0,4.91
Kaliori,2000,2005,118191.0,7.3
Kaliori,2005,2010,163426.0,9.41
Kaliori,2010,2015,185550.0,9.76
Kaliori,2015,2020,132580.0,6.36
Kaliori,2020,2025,48947.0,2.21
Gunem,2000,2005,44570.0,4.43
Gunem,2005,2010,50104.0,4.77
Gunem,2010,2015,53868.0,4.9
Gunem,2015,2020,65029.0,5.64
Gunem,2020,2025,51720.0,4.24
Sale,2000,2005,69276.0,4.25
Sale,2005,2010,73487.0,4.32
Sale,2010,2015,64396.0,3.63
Sale,2015,2020,25486.0,1.39
Sale,2020,2025,51205.0,2.75
Sumber,2000,2005,70091.0,4.68
Sumber,2005,2010,76367.0,4.87
Sumber,2010,2015,66054.0,4.02
Sumber,2015,2020,22360.0,1.31
Sumber,2020,2025,42387.0,2.45
Bulu,2000,2005,48092.0,4.41
Bulu,2005,2010,54427.0,4.78
Bulu,2010,2015,53424.0,4.48
Bulu,2015,2020,34955.0,2.81
Bulu,2020,2025,65151.0,5.09
